	i	j	weight
0	4	29	0.1
1	8	21	0.3
2	9	20	0.3
3	16	29	0.1
4	0	2	0.3
5	15	26	0.2
6	14	32	0.2
7	9	13	0.4
8	6	28	0.3
9	10	22	0.2
10	3	12	0.2
11	12	26	0.2
12	22	28	0.1
13	17	22	0.4
14	9	27	0.4
15	1	21	0.3
16	3	6	0.3
17	13	25	0.3
18	8	25	0.4
19	0	4	0.1
20	10	17	0.1
21	0	33	0.3
22	25	33	0.3
23	19	28	0.2
24	9	23	0.3
25	13	19	0.2
26	17	33	0.5
27	17	21	0.3
28	7	12	0.1
29	9	14	0.4
30	0	25	0.4
31	20	24	0.2
32	13	30	0.1
33	3	19	0.3
34	10	23	0.1
35	13	18	0.1
36	8	13	0.1
37	30	31	0.2
38	8	29	0.4
39	26	31	0.3
40	16	17	0.4
41	7	20	0.4
42	21	25	0.4
43	5	9	0.3
44	22	25	0.3
45	24	28	0.3
46	13	23	0.5
47	0	1	0.4
48	0	9	0.4
49	9	12	0.9
50	5	19	0.1
51	7	14	0.3
52	18	28	0.2
53	2	11	0.2
54	13	16	0.1
55	4	20	0.5
56	25	28	0.2
57	1	3	0.4
58	2	26	0.2
59	12	16	0.2
60	17	20	0.5
61	19	27	0.1
62	21	31	0.4
63	6	23	0.3
64	0	14	0.2
65	19	22	0.2
66	6	11	0.4
67	16	27	0.1
68	6	24	0.2
69	16	18	0.2
70	4	26	0.4
71	12	23	0.1
72	24	30	0.1
73	19	29	0.4
74	8	16	0.2
75	10	19	0.1
76	3	18	0.5
77	7	24	0.2
78	16	32	0.2
79	7	13	0.3
80	0	3	0.3
81	6	8	0.4
82	3	23	0.2
83	1	6	0.3
84	2	28	0.3
85	19	30	0.2
86	23	26	0.3
87	10	18	0.1
88	13	20	0.5
89	9	16	0.1
90	0	22	0.1
91	5	12	0.2
92	1	5	0.2
93	2	14	0.2
94	10	28	0.1
95	3	33	0.1
96	1	29	0.3
97	20	31	0.4
98	5	31	0.2
99	10	12	0.3
100	26	32	0.4
101	5	28	0.3
102	10	30	0.4
103	9	33	0.5
104	28	32	0.2
105	6	31	0.2
106	1	20	0.4
107	3	26	0.4
108	0	29	0.2
109	24	26	0.3
110	8	33	0.2
111	4	28	0.3
112	3	14	0.4
113	1	15	0.3
114	3	9	0.1
115	12	27	0.4
116	11	23	0.5
117	5	18	0.1
118	16	33	0.2
119	1	33	0.1
120	1	4	0.8
121	27	30	0.8
122	22	31	0.1
123	12	17	0.1
124	11	32	0.2
125	14	28	0.1
126	11	24	0.2
127	10	25	0.3
128	6	25	0.4
129	6	32	0.5
130	11	19	0.3
131	27	28	0.4
132	25	30	0.4
133	9	10	0.2
134	0	10	0.5
135	26	28	0.1
136	9	18	0.3
137	14	18	0.2
138	4	11	0.4
139	3	16	0.3
140	21	30	0.3
141	14	30	0.2
142	2	16	0.2
143	15	31	0.1
144	2	27	0.4
145	7	30	0.1
146	15	21	0.1
147	5	16	0.3
148	1	19	0.4
149	7	18	0.1
